country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Afghanistan,1.67,6.7825,2.94,2.22,,0.59,0.3225,0.135,0.502,0.24,1.088,1.364,2.832,2.696,4.3825,0.642,0.826,0.754,0.432,0.33,0.272,0.22,0.218,4.15,0.655,1.113333333,1.3475,0.22,13.33333333,0.975,0.9725,2.775,0.78,6667.7,24837.195,43.51,0.04,314.865,11.36,5.555,3.053333333,17.5025,822.35,17.225,46.04,26.115,27.505,80.955,45.37666667,153.73,92.60666667,474.28,233.2166667,188.3,11.19333333,0.166666667
Albania,4.358,24.95866667,4.144666667,1.352,1.802666667,1.159333333,1.119333333,0.584666667,1.086666667,0.575333333,1.169333333,1.973333333,5.342,4.419333333,7.852666667,0.924,1.408,1.048666667,0.882,0.633333333,0.589333333,0.554285714,0.527333333,5.007333333,0.798666667,1.292666667,2.81,0.459090909,11.899,2.464,2.161333333,8.014285714,1.704666667,16089.01583,17434.76583,79.446,0.178181818,15.95357143,26.36909091,9.995,5.016153846,91.38071429,2069.852727,36.11285714,30.53357143,64.72357143,75.56142857,197.0436364,123.3509091,358.939,215.107,869.196,524.8822222,361.3733333,4.895,0.2
Algeria,1.993225806,13.47645161,2.755483871,1.414615385,1.624814815,0.5,0.48375,0.1990625,0.668125,0.187666667,0.980606061,1.3040625,5.366785714,3.91030303,10.5221875,2.1365625,2.474193548,1.1575,0.636060606,0.525,0.364848485,0.503103448,0.269393939,7.10875,1.374583333,1.615384615,2.11483871,0.210714286,9.819411765,0.811666667,0.552142857,3.659642857,0.298125,26826.16846,24451.83038,38.78344828,0.063548387,37.6437931,14.79548387,10.23285714,4.3968,57.22416667,1982.648235,28.45766667,33.31,53.159,64.071,144.8031034,96.19592593,241.8864286,167.3581481,923.0565,600.911,261.4641379,6.609375,0.121212121
American Samoa,23.48,6.57,21.81,1.88,1.88,0.99,1.17,2.08,1.04,3.12,2.08,2.08,21.81,,,2.08,2.08,3.12,,,,,,,,,,,,,,,,,,,,79.98,,,,,,,,,,88.18,,,,,,,,0
Andorra,12.98333333,40.33333333,6.906666667,2.043333333,2.566666667,1.36,1.686666667,1.35,0.88,1.073333333,1.406666667,2,12.81,9.403333333,7.97,2.513333333,1.646666667,1.986666667,2.866666667,1.033333333,1.413333333,1.04,0.753333333,5.676666667,1.04,0.89,5.796666667,1.895,39.81666667,2.415,1.2,5.19,1.666666667,18696.54,,72.87333333,0.36,36.61666667,49.77333333,11.77333333,8.31,543.58,8517.31,88.29,38.94666667,108.4866667,122.9133333,811.73,655.2433333,1699.426667,1301.833333,4327.903333,4050.916667,2801.596667,2.843333333,0
Angola,18.92,64.25,8.255,2.2,1.75,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0.79,2,0.59,31.78,1.67,1.67,8,0.33,22541.71,23628.3,30.78,0.1,192.23,40.05,28.35,4.84,929.37,2705.62,95.95,150.31,267.21,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77,25,0
Anguilla,8,170,10,4,4,5,3,3,1.74,3.5,2.22,2.22,22.05,16.26,32.63,,2.04,2.45,4.89,,,,1.11,19.53,1.85,1.85,,,,25,,,1.72,45000,,225,0.15,77.5,45,,,150,5168,,,,,800,800,2000,1750,,,1500,,0
Antigua And Barbuda,5.55,92.51,8.33,3.89,3.52,4.44,2.22,1.11,1.85,1.97,1.3,3.95,7.4,6.29,16.65,12.24,2.04,5.55,4.63,3.7,1.85,3.45,1.36,11.1,1.96,2.22,4.44,1.02,,5.55,5.75,19.98,1.14,23681.34,20721.17,129.51,0.3,69.93,55.5,37,6.11,175.76,,,,,,,,,,,,,9,0
Argentina,6.476666667,27.82428571,5.28,1.503333333,2.122857143,1.593333333,1.117619048,0.904761905,0.760952381,1.083809524,0.885714286,1.413157895,5.712857143,3.681052632,6.3675,1.424285714,1.186190476,1.078095238,1.394761905,0.6805,0.772380952,0.992631579,0.897894737,2.8185,1.100526316,1.806842105,2.061111111,0.3725,18.179,1.094117647,0.911176471,5.914666667,0.9,24606.51611,23450.89278,50.38473684,0.160588235,21.2095,21.869375,13.45571429,4.156842105,148.4857895,3994.422,52.1755,41.45333333,106.394,85.75421053,211.9077778,181.8005556,426.9033333,335.8855556,2172.734,1601.272667,442.9282353,43.64277778,0.074074074
Armenia,5.625,31.68,5.848333333,1.23,1.798,1.796,0.825,0.418333333,1.145,0.503333333,2.153333333,1.838333333,6.385,5.556666667,8.866666667,1.182,1.725,1.682,1.494,0.632,0.694,0.584,0.624,6.75,1.064,1.584,1.724,0.25,12.94,1.19,0.258333333,2.7,1.201666667,23760.89,28265.9475,97.96,0.05,17.17,56.66333333,10.735,5,159.264,7704.28,66.98833333,50.012,93.19833333,82.04,580.2866667,404.4333333,1185.883333,794.88,1530.013333,757.0733333,370.24,12.90666667,0.166666667
